timestamp millis,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,Complementary_Filter_Angle_Calculated,Complementary_Filter_Angle,Kalman_Filter_Angle
9071.0,0.84,0.4,-0.93,0.08,-0.98,0.16,0.0,-78.23,-79.08
9136.0,0.85,0.4,-1.08,0.09,-0.98,0.17,0.0,-78.23,-79.08
9203.0,0.84,0.58,-1.05,0.09,-0.98,0.16,0.0,-78.26,-79.14
9269.0,0.85,0.46,-1.03,0.1,-0.98,0.16,0.0,-78.28,-79.18
9334.0,0.87,0.31,-0.98,0.1,-0.98,0.16,0.0,-78.28,-79.17
9402.0,0.9,0.27,-0.92,0.1,-0.97,0.16,0.0,-78.29,-79.17
9468.0,0.92,0.35,-0.92,0.1,-0.98,0.16,0.0,-78.28,-79.15
9534.0,0.92,0.4,-0.95,0.1,-0.98,0.16,0.0,-78.28,-79.14
9602.0,0.89,0.41,-0.94,0.1,-0.98,0.16,0.0,-78.27,-79.12
9666.0,0.89,0.4,-0.95,0.09,-0.98,0.16,0.0,-78.28,-79.13
9734.0,0.92,0.33,-0.92,0.1,-0.98,0.16,0.0,-78.27,-79.11
9800.0,0.92,0.32,-0.93,0.1,-0.98,0.17,0.0,-78.26,-79.07
9866.0,0.89,0.37,-0.92,0.1,-0.98,0.17,0.0,-78.22,-78.99
9933.0,0.89,0.43,-0.97,0.1,-0.98,0.16,0.0,-78.24,-79.03
10000.0,0.89,0.36,-1.03,0.09,-0.98,0.17,0.0,-78.24,-79.02
10065.0,0.88,0.36,-1.06,0.1,-0.98,0.17,0.0,-78.22,-78.98
10132.0,0.85,0.41,-1.0,0.1,-0.98,0.16,0.0,-78.22,-78.98
10198.0,0.84,0.45,-1.02,0.1,-0.98,0.16,0.0,-78.23,-79.0
10265.0,0.86,0.4,-0.98,0.11,-0.98,0.16,0.0,-78.22,-78.99
10332.0,0.87,0.39,-0.99,0.1,-0.98,0.16,0.0,-78.23,-79.0
10397.0,0.87,0.36,-1.05,0.1,-0.98,0.17,0.0,-78.2,-78.94
