timestamp millis,Plantar Pressure Voltage
9071.0,"0.19,0.14,0.13,0.58,0.13,0.09,0.10,0.01,0.25,0.06,0.05,0.13,0.00,0.38,0.23,0.24,0.12,0.03,0.54,0.19,0.28,0.19,0.11,0.37,0.15,0.26,0.22,0.18,0.10,0.05,0.12,0.23,0.31,0.04,0.04,0.18,0.29,0.05,0.04,0.16,0.33,0.07,0.14,0.24,0.47,0.18,0.26,0.26,0.34,0.41,0.31,0.28,0.19,0.50,0.37,0.29,0.13,0.48,0.37,0.28,0.12,0.48,0.53,0.35"
9136.0,"0.18,0.13,0.13,0.57,0.13,0.10,0.11,0.01,0.25,0.06,0.06,0.12,0.01,0.39,0.23,0.22,0.13,0.03,0.55,0.19,0.28,0.19,0.10,0.36,0.15,0.27,0.23,0.17,0.10,0.05,0.12,0.23,0.31,0.04,0.03,0.18,0.29,0.04,0.04,0.16,0.33,0.07,0.14,0.24,0.47,0.18,0.26,0.25,0.34,0.41,0.32,0.29,0.19,0.51,0.37,0.29,0.13,0.49,0.37,0.28,0.12,0.48,0.53,0.36"
9203.0,"0.19,0.13,0.13,0.57,0.13,0.10,0.11,0.01,0.24,0.06,0.05,0.13,0.01,0.39,0.22,0.22,0.13,0.03,0.54,0.19,0.28,0.19,0.11,0.37,0.15,0.26,0.22,0.18,0.10,0.05,0.12,0.23,0.31,0.04,0.04,0.18,0.29,0.05,0.04,0.16,0.33,0.06,0.15,0.24,0.48,0.18,0.27,0.24,0.34,0.41,0.31,0.29,0.18,0.50,0.37,0.29,0.13,0.49,0.37,0.28,0.12,0.48,0.53,0.36"
9269.0,"0.18,0.13,0.13,0.58,0.13,0.10,0.10,0.00,0.23,0.06,0.07,0.12,0.01,0.37,0.22,0.22,0.13,0.02,0.54,0.19,0.28,0.19,0.10,0.37,0.15,0.26,0.22,0.17,0.12,0.04,0.11,0.23,0.32,0.02,0.03,0.21,0.30,0.05,0.04,0.14,0.32,0.07,0.15,0.23,0.48,0.17,0.26,0.25,0.34,0.41,0.31,0.29,0.19,0.50,0.37,0.29,0.13,0.49,0.37,0.28,0.13,0.48,0.53,0.36"
9334.0,"0.19,0.11,0.14,0.58,0.13,0.10,0.09,0.00,0.23,0.06,0.07,0.12,0.01,0.36,0.22,0.23,0.14,0.02,0.54,0.19,0.28,0.19,0.09,0.38,0.14,0.26,0.23,0.18,0.12,0.04,0.11,0.24,0.32,0.04,0.03,0.18,0.29,0.07,0.04,0.15,0.32,0.07,0.15,0.23,0.48,0.17,0.25,0.25,0.37,0.42,0.32,0.28,0.18,0.50,0.38,0.30,0.14,0.49,0.38,0.28,0.12,0.49,0.54,0.36"
9402.0,"0.18,0.12,0.13,0.57,0.13,0.10,0.10,0.01,0.23,0.06,0.05,0.12,0.01,0.38,0.22,0.22,0.13,0.01,0.55,0.18,0.28,0.19,0.11,0.36,0.13,0.25,0.22,0.19,0.09,0.04,0.11,0.22,0.31,0.04,0.04,0.18,0.29,0.04,0.04,0.15,0.32,0.07,0.13,0.23,0.47,0.17,0.27,0.26,0.34,0.41,0.31,0.29,0.19,0.50,0.36,0.29,0.13,0.48,0.37,0.29,0.12,0.49,0.53,0.36"
9468.0,"0.18,0.11,0.13,0.57,0.13,0.10,0.11,0.01,0.23,0.06,0.05,0.12,0.01,0.38,0.22,0.22,0.13,0.03,0.54,0.19,0.28,0.19,0.11,0.37,0.15,0.25,0.22,0.18,0.10,0.05,0.11,0.22,0.31,0.04,0.04,0.18,0.29,0.04,0.04,0.15,0.33,0.07,0.13,0.23,0.48,0.18,0.26,0.24,0.34,0.41,0.33,0.30,0.18,0.51,0.37,0.29,0.14,0.49,0.38,0.28,0.12,0.48,0.53,0.38"
9534.0,"0.18,0.13,0.15,0.57,0.13,0.11,0.09,0.02,0.24,0.06,0.05,0.11,0.00,0.37,0.22,0.22,0.13,0.03,0.53,0.18,0.28,0.20,0.10,0.37,0.15,0.26,0.22,0.17,0.11,0.04,0.12,0.23,0.31,0.04,0.02,0.18,0.31,0.06,0.04,0.15,0.33,0.07,0.14,0.24,0.48,0.18,0.26,0.24,0.35,0.41,0.33,0.28,0.19,0.51,0.37,0.30,0.14,0.49,0.38,0.27,0.12,0.48,0.54,0.37"
9602.0,"0.19,0.13,0.13,0.58,0.13,0.10,0.09,0.01,0.24,0.07,0.07,0.12,0.01,0.36,0.22,0.23,0.12,0.03,0.54,0.19,0.28,0.19,0.09,0.36,0.14,0.26,0.24,0.17,0.10,0.04,0.11,0.24,0.31,0.04,0.03,0.19,0.30,0.04,0.04,0.14,0.33,0.07,0.13,0.23,0.48,0.19,0.27,0.25,0.35,0.42,0.32,0.28,0.19,0.50,0.38,0.28,0.14,0.48,0.39,0.28,0.13,0.49,0.54,0.36"
9666.0,"0.19,0.12,0.13,0.57,0.14,0.10,0.11,0.01,0.23,0.06,0.07,0.13,0.00,0.38,0.22,0.22,0.13,0.02,0.55,0.17,0.29,0.19,0.11,0.37,0.14,0.25,0.24,0.19,0.10,0.05,0.12,0.23,0.31,0.06,0.04,0.18,0.30,0.05,0.04,0.16,0.33,0.07,0.14,0.22,0.47,0.18,0.28,0.25,0.35,0.41,0.31,0.29,0.19,0.50,0.39,0.29,0.13,0.48,0.38,0.29,0.12,0.49,0.53,0.37"
9734.0,"0.18,0.13,0.13,0.57,0.13,0.10,0.11,0.01,0.24,0.06,0.05,0.13,0.01,0.38,0.22,0.22,0.13,0.03,0.54,0.19,0.28,0.18,0.11,0.37,0.15,0.25,0.22,0.18,0.10,0.05,0.12,0.23,0.31,0.04,0.04,0.18,0.30,0.05,0.04,0.16,0.33,0.07,0.13,0.24,0.48,0.18,0.26,0.26,0.37,0.41,0.32,0.30,0.19,0.51,0.37,0.29,0.14,0.48,0.37,0.27,0.13,0.47,0.53,0.38"
9800.0,"0.17,0.13,0.13,0.58,0.13,0.10,0.10,0.00,0.25,0.06,0.05,0.13,0.01,0.37,0.22,0.22,0.15,0.04,0.53,0.18,0.27,0.18,0.10,0.37,0.15,0.25,0.22,0.17,0.10,0.04,0.11,0.23,0.33,0.04,0.04,0.19,0.30,0.07,0.04,0.15,0.33,0.07,0.14,0.24,0.48,0.18,0.25,0.24,0.35,0.41,0.31,0.30,0.21,0.50,0.37,0.30,0.13,0.49,0.38,0.28,0.13,0.49,0.54,0.37"
9866.0,"0.18,0.12,0.13,0.58,0.13,0.10,0.09,0.01,0.24,0.06,0.05,0.13,0.01,0.40,0.22,0.22,0.13,0.03,0.55,0.19,0.28,0.19,0.09,0.38,0.14,0.26,0.22,0.19,0.10,0.04,0.11,0.25,0.32,0.04,0.03,0.18,0.30,0.04,0.04,0.15,0.34,0.08,0.14,0.23,0.48,0.18,0.26,0.26,0.35,0.41,0.32,0.28,0.19,0.50,0.39,0.30,0.13,0.49,0.38,0.28,0.13,0.49,0.54,0.36"
9933.0,"0.19,0.12,0.13,0.57,0.13,0.10,0.11,0.01,0.22,0.06,0.07,0.13,0.00,0.38,0.22,0.22,0.13,0.02,0.55,0.18,0.28,0.19,0.11,0.37,0.13,0.25,0.23,0.19,0.10,0.05,0.11,0.23,0.32,0.05,0.04,0.17,0.31,0.05,0.04,0.16,0.34,0.07,0.14,0.23,0.47,0.18,0.28,0.26,0.34,0.42,0.32,0.29,0.19,0.51,0.37,0.29,0.12,0.48,0.37,0.28,0.14,0.49,0.54,0.37"
10000.0,"0.18,0.11,0.13,0.57,0.13,0.11,0.10,0.01,0.23,0.06,0.05,0.13,0.03,0.38,0.22,0.22,0.12,0.02,0.55,0.17,0.27,0.18,0.12,0.37,0.15,0.25,0.22,0.19,0.10,0.05,0.11,0.23,0.32,0.04,0.04,0.21,0.30,0.05,0.05,0.16,0.33,0.07,0.12,0.22,0.47,0.18,0.27,0.27,0.34,0.43,0.33,0.30,0.19,0.51,0.37,0.28,0.13,0.49,0.39,0.29,0.12,0.47,0.53,0.37"
10065.0,"0.18,0.10,0.13,0.56,0.13,0.11,0.11,0.00,0.24,0.06,0.06,0.13,0.00,0.38,0.21,0.22,0.13,0.03,0.55,0.17,0.27,0.20,0.11,0.37,0.15,0.25,0.23,0.18,0.12,0.05,0.11,0.23,0.32,0.04,0.02,0.17,0.30,0.06,0.05,0.14,0.34,0.07,0.13,0.24,0.48,0.18,0.26,0.24,0.35,0.41,0.33,0.29,0.19,0.51,0.37,0.29,0.14,0.49,0.38,0.27,0.12,0.48,0.53,0.38"
10132.0,"0.19,0.12,0.13,0.57,0.14,0.10,0.11,0.01,0.22,0.05,0.06,0.14,0.00,0.37,0.22,0.22,0.13,0.03,0.56,0.18,0.28,0.19,0.11,0.37,0.14,0.25,0.23,0.19,0.09,0.04,0.11,0.23,0.34,0.03,0.05,0.18,0.30,0.04,0.03,0.14,0.33,0.07,0.13,0.23,0.47,0.18,0.27,0.26,0.35,0.41,0.31,0.27,0.19,0.51,0.37,0.30,0.12,0.50,0.38,0.28,0.13,0.48,0.53,0.36"
10198.0,"0.18,0.13,0.13,0.58,0.12,0.09,0.10,0.01,0.22,0.05,0.05,0.13,0.00,0.35,0.21,0.21,0.13,0.05,0.55,0.18,0.27,0.18,0.10,0.36,0.13,0.24,0.23,0.20,0.10,0.05,0.11,0.23,0.32,0.04,0.03,0.18,0.30,0.03,0.02,0.15,0.33,0.07,0.13,0.23,0.47,0.17,0.27,0.26,0.35,0.41,0.31,0.27,0.19,0.50,0.39,0.30,0.13,0.48,0.37,0.29,0.13,0.49,0.54,0.37"
