timestamp millis,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,Complementary_Filter_Angle_Calculated,Complementary_Filter_Angle,Kalman_Filter_Angle
11022.0,0.91,0.31,-0.82,0.07,-0.98,0.17,0.0,-78.47,-79.12
11087.0,0.88,0.33,-0.82,0.06,-0.98,0.17,0.0,-78.49,-79.19
11154.0,0.86,0.34,-0.88,0.06,-0.98,0.18,0.0,-78.47,-79.16
11219.0,0.88,0.45,-0.98,0.07,-0.98,0.18,0.0,-78.45,-79.11
11286.0,0.91,0.47,-0.98,0.07,-0.98,0.18,0.0,-78.43,-79.08
11354.0,0.88,0.34,-0.92,0.07,-0.98,0.17,0.0,-78.45,-79.13
11419.0,0.9,0.3,-0.89,0.07,-0.98,0.18,0.0,-78.42,-79.08
11485.0,0.86,0.35,-0.9,0.06,-0.98,0.17,0.0,-78.45,-79.16
11552.0,0.87,0.43,-0.99,0.07,-0.98,0.18,0.0,-78.45,-79.16
11619.0,0.85,0.47,-0.96,0.07,-0.98,0.17,0.0,-78.44,-79.16
11684.0,0.86,0.31,-0.92,0.07,-0.98,0.17,0.0,-78.47,-79.21
11751.0,0.87,0.31,-0.85,0.07,-0.98,0.18,0.0,-78.44,-79.15
11816.0,0.87,0.27,-0.79,0.06,-0.98,0.17,0.0,-78.45,-79.18
11884.0,0.87,0.39,-0.83,0.07,-0.98,0.17,0.0,-78.45,-79.19
11951.0,0.86,0.44,-0.87,0.06,-0.98,0.17,0.0,-78.46,-79.21
12016.0,0.85,0.39,-0.86,0.06,-0.99,0.19,0.0,-78.43,-79.14
12084.0,0.89,0.45,-0.92,0.06,-0.98,0.17,0.0,-78.44,-79.18
12150.0,0.81,0.53,-0.97,0.06,-0.98,0.17,0.0,-78.46,-79.22
12216.0,0.83,0.55,-1.03,0.06,-0.98,0.18,0.0,-78.47,-79.23
12281.0,0.85,0.41,-0.97,0.08,-0.98,0.18,0.0,-78.45,-79.18
12348.0,0.85,0.24,-0.86,0.07,-0.98,0.17,0.0,-78.47,-79.23
12416.0,0.8,0.23,-0.85,0.06,-0.98,0.17,0.0,-78.48,-79.26
12481.0,0.81,0.25,-0.93,0.06,-0.98,0.17,0.0,-78.51,-79.32
12548.0,0.76,0.43,-1.01,0.07,-0.98,0.17,0.0,-78.53,-79.36
12613.0,0.8,0.4,-0.98,0.07,-0.98,0.16,0.0,-78.57,-79.42
12680.0,0.85,0.31,-0.88,0.07,-0.98,0.16,0.0,-78.6,-79.49
12747.0,0.89,0.27,-0.89,0.06,-0.98,0.17,0.0,-78.63,-79.54
12813.0,0.89,0.37,-0.91,0.06,-0.98,0.17,0.0,-78.66,-79.59
12879.0,0.92,0.4,-0.95,0.06,-0.98,0.16,0.0,-78.69,-79.67
12947.0,0.91,0.45,-0.96,0.06,-0.98,0.16,0.0,-78.72,-79.72
13012.0,0.97,0.47,-1.01,0.06,-0.98,0.17,0.0,-78.72,-79.7
13079.0,0.96,0.42,-0.99,0.07,-0.98,0.17,0.0,-78.71,-79.65
13145.0,0.97,0.35,-0.92,0.07,-0.98,0.16,0.0,-78.72,-79.67
13213.0,0.92,0.38,-0.95,0.06,-0.98,0.17,0.0,-78.7,-79.61
13279.0,0.92,0.3,-0.91,0.07,-0.98,0.17,0.0,-78.69,-79.57
13345.0,0.87,0.31,-0.85,0.06,-0.98,0.18,0.0,-78.68,-79.53
13411.0,0.92,0.26,-0.89,0.06,-0.98,0.17,0.0,-78.68,-79.53
13478.0,0.92,0.4,-0.97,0.06,-0.98,0.17,0.0,-78.7,-79.58
13545.0,0.97,0.4,-0.94,0.07,-0.98,0.17,0.0,-78.68,-79.52
13611.0,0.93,0.38,-0.91,0.07,-0.98,0.17,0.0,-78.67,-79.5
13677.0,0.95,0.39,-0.97,0.06,-0.98,0.18,0.0,-78.65,-79.44
13745.0,0.83,0.34,-0.92,0.06,-0.98,0.17,0.0,-78.65,-79.45
13810.0,0.85,0.3,-0.92,0.06,-0.98,0.17,0.0,-78.66,-79.46
13877.0,0.85,0.37,-0.95,0.06,-0.98,0.17,0.0,-78.68,-79.5
13944.0,0.82,0.5,-1.04,0.06,-0.98,0.17,0.0,-78.7,-79.54
14011.0,0.89,0.5,-1.06,0.08,-0.98,0.18,0.0,-78.66,-79.44
14076.0,0.91,0.44,-1.02,0.06,-0.98,0.17,0.0,-78.68,-79.49
14143.0,0.87,0.34,-0.99,0.07,-0.98,0.18,0.0,-78.65,-79.42
14211.0,0.87,0.27,-0.84,0.08,-0.98,0.17,0.0,-78.63,-79.38
14276.0,0.85,0.23,-0.78,0.07,-0.98,0.17,0.0,-78.64,-79.39
14343.0,0.82,0.3,-0.83,0.07,-0.98,0.17,0.0,-78.64,-79.4
14408.0,0.83,0.34,-0.91,0.06,-0.98,0.17,0.0,-78.67,-79.46
14476.0,0.82,0.41,-0.98,0.06,-0.98,0.17,0.0,-78.66,-79.44
14542.0,0.88,0.34,-0.95,0.07,-0.98,0.17,0.0,-78.66,-79.44
14608.0,0.86,0.4,-0.94,0.06,-0.98,0.17,0.0,-78.66,-79.43
