timestamp millis,Plantar Pressure Voltage
11022.0,"0.31,0.24,0.17,0.06,0.19,0.11,0.22,0.02,0.23,0.11,0.10,0.10,0.01,0.46,0.26,0.26,0.13,0.04,0.56,0.19,0.26,0.17,0.15,0.33,0.14,0.24,0.23,0.19,0.13,0.05,0.08,0.20,0.27,0.05,0.03,0.16,0.27,0.07,0.07,0.20,0.34,0.10,0.18,0.23,0.46,0.23,0.29,0.26,0.35,0.42,0.32,0.28,0.24,0.49,0.37,0.30,0.18,0.48,0.37,0.27,0.21,0.37,0.54,0.39"
11087.0,"0.29,0.23,0.19,0.06,0.19,0.11,0.21,0.01,0.24,0.11,0.11,0.10,0.01,0.46,0.25,0.24,0.13,0.07,0.55,0.19,0.27,0.19,0.12,0.34,0.17,0.24,0.22,0.18,0.13,0.05,0.08,0.20,0.29,0.05,0.02,0.15,0.29,0.09,0.07,0.19,0.35,0.10,0.19,0.24,0.47,0.22,0.29,0.24,0.34,0.42,0.34,0.27,0.25,0.50,0.38,0.31,0.19,0.47,0.36,0.26,0.21,0.37,0.54,0.39"
11154.0,"0.31,0.22,0.18,0.04,0.18,0.13,0.21,0.01,0.25,0.12,0.10,0.10,0.00,0.45,0.25,0.25,0.13,0.05,0.56,0.18,0.27,0.20,0.13,0.36,0.14,0.24,0.22,0.18,0.14,0.04,0.09,0.20,0.29,0.05,0.03,0.14,0.28,0.09,0.08,0.19,0.35,0.11,0.19,0.24,0.46,0.22,0.29,0.24,0.33,0.42,0.34,0.28,0.25,0.49,0.38,0.31,0.18,0.47,0.35,0.28,0.21,0.37,0.54,0.39"
11219.0,"0.33,0.23,0.18,0.06,0.18,0.11,0.22,0.01,0.23,0.10,0.09,0.13,0.02,0.45,0.26,0.26,0.14,0.05,0.58,0.20,0.27,0.19,0.13,0.35,0.13,0.23,0.22,0.21,0.12,0.03,0.09,0.20,0.28,0.05,0.04,0.17,0.27,0.08,0.07,0.20,0.34,0.10,0.19,0.23,0.46,0.22,0.29,0.27,0.34,0.42,0.32,0.28,0.25,0.49,0.37,0.30,0.18,0.46,0.36,0.29,0.21,0.38,0.55,0.40"
11286.0,"0.33,0.22,0.18,0.05,0.19,0.12,0.21,0.02,0.23,0.10,0.10,0.11,0.01,0.45,0.26,0.26,0.14,0.04,0.56,0.18,0.27,0.20,0.12,0.35,0.13,0.23,0.23,0.19,0.14,0.04,0.09,0.20,0.29,0.05,0.04,0.15,0.27,0.09,0.08,0.19,0.35,0.11,0.19,0.23,0.45,0.22,0.30,0.25,0.34,0.42,0.34,0.28,0.25,0.50,0.38,0.31,0.17,0.46,0.36,0.28,0.21,0.37,0.55,0.41"
11354.0,"0.31,0.23,0.17,0.04,0.18,0.11,0.22,0.01,0.25,0.11,0.10,0.11,0.00,0.46,0.26,0.26,0.14,0.05,0.58,0.19,0.26,0.18,0.15,0.35,0.14,0.24,0.22,0.19,0.15,0.06,0.09,0.20,0.29,0.05,0.04,0.14,0.27,0.07,0.09,0.20,0.34,0.11,0.20,0.24,0.46,0.22,0.29,0.26,0.33,0.41,0.32,0.30,0.24,0.49,0.38,0.31,0.19,0.47,0.36,0.28,0.21,0.36,0.54,0.41"
11419.0,"0.32,0.23,0.18,0.06,0.19,0.11,0.22,0.00,0.26,0.10,0.10,0.11,0.01,0.46,0.24,0.25,0.15,0.06,0.57,0.19,0.27,0.19,0.13,0.36,0.15,0.23,0.22,0.20,0.13,0.05,0.08,0.20,0.30,0.06,0.04,0.16,0.27,0.08,0.07,0.19,0.33,0.10,0.20,0.25,0.45,0.21,0.30,0.26,0.34,0.42,0.32,0.28,0.23,0.48,0.38,0.33,0.19,0.48,0.36,0.26,0.20,0.37,0.54,0.42"
11485.0,"0.32,0.24,0.18,0.06,0.19,0.11,0.22,0.00,0.25,0.10,0.10,0.11,0.01,0.46,0.24,0.25,0.15,0.06,0.57,0.19,0.27,0.19,0.13,0.35,0.14,0.25,0.22,0.18,0.13,0.04,0.08,0.20,0.30,0.05,0.03,0.15,0.28,0.08,0.07,0.19,0.33,0.09,0.19,0.25,0.46,0.23,0.28,0.24,0.34,0.43,0.33,0.29,0.23,0.48,0.37,0.31,0.19,0.47,0.35,0.27,0.20,0.38,0.55,0.40"
11552.0,"0.34,0.24,0.17,0.06,0.18,0.12,0.22,0.01,0.25,0.09,0.09,0.12,0.02,0.46,0.26,0.26,0.15,0.05,0.58,0.20,0.26,0.19,0.13,0.36,0.14,0.23,0.22,0.20,0.14,0.05,0.09,0.20,0.29,0.04,0.05,0.17,0.26,0.07,0.08,0.20,0.35,0.10,0.19,0.23,0.46,0.21,0.29,0.26,0.35,0.42,0.32,0.28,0.25,0.48,0.37,0.30,0.19,0.46,0.35,0.28,0.22,0.38,0.55,0.39"
11619.0,"0.32,0.23,0.16,0.05,0.17,0.11,0.23,0.00,0.26,0.10,0.11,0.11,0.01,0.46,0.25,0.25,0.15,0.07,0.56,0.19,0.29,0.19,0.13,0.35,0.13,0.23,0.22,0.19,0.13,0.06,0.09,0.20,0.28,0.05,0.04,0.16,0.26,0.07,0.07,0.20,0.35,0.10,0.19,0.24,0.46,0.23,0.30,0.26,0.33,0.40,0.32,0.28,0.25,0.49,0.37,0.30,0.17,0.47,0.36,0.28,0.22,0.36,0.53,0.39"
