timestamp millis,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,Complementary_Filter_Angle_Calculated,Complementary_Filter_Angle,Kalman_Filter_Angle
8460.0,0.73,0.49,-1.24,-0.17,-0.93,0.32,0.0,-68.57,-69.5
8524.0,1.16,0.46,-1.57,-0.1,-0.94,0.34,0.0,-68.56,-69.47
8592.0,1.49,0.46,-1.39,-0.14,-0.94,0.32,0.0,-68.53,-69.43
8659.0,0.92,0.88,-1.33,-0.12,-0.93,0.34,0.0,-68.48,-69.31
8724.0,1.41,0.39,-1.06,-0.1,-0.93,0.35,0.0,-68.4,-69.16
8792.0,0.7,0.67,-0.98,-0.14,-0.94,0.34,0.0,-68.37,-69.09
8857.0,0.88,1.12,-1.15,-0.16,-0.93,0.34,0.0,-68.29,-68.89
8924.0,0.91,0.95,-1.0,-0.14,-0.92,0.35,0.0,-68.19,-68.69
8991.0,0.61,0.65,-1.05,-0.14,-0.93,0.34,0.0,-68.16,-68.61
9056.0,0.73,-0.08,-0.82,-0.14,-0.93,0.33,0.0,-68.15,-68.61
9123.0,0.82,0.21,-1.07,-0.14,-0.93,0.35,0.0,-68.09,-68.5
9189.0,0.9,0.0,-0.98,-0.15,-0.94,0.35,0.0,-68.03,-68.39
9254.0,0.78,-0.04,-0.82,-0.13,-0.92,0.36,0.0,-67.93,-68.21
9322.0,0.73,0.45,-1.14,-0.16,-0.92,0.36,0.0,-67.79,-67.92
9387.0,0.75,0.86,-1.3,-0.14,-0.93,0.35,0.0,-67.75,-67.88
9454.0,0.62,0.77,-1.28,-0.15,-0.93,0.35,0.0,-67.71,-67.82
9522.0,0.68,0.65,-1.3,-0.14,-0.93,0.35,0.0,-67.7,-67.85
9586.0,0.71,0.6,-1.37,-0.14,-0.93,0.33,0.0,-67.72,-67.97
9654.0,0.76,0.82,-1.68,-0.13,-0.93,0.34,0.0,-67.73,-68.01
9720.0,0.69,0.51,-1.5,-0.13,-0.93,0.36,0.0,-67.67,-67.91
9786.0,0.6,0.44,-1.09,-0.12,-0.93,0.36,0.0,-67.64,-67.89
9853.0,0.53,0.41,-1.02,-0.12,-0.93,0.35,0.0,-67.65,-67.92
9918.0,0.61,0.61,-1.16,-0.17,-0.93,0.34,0.0,-67.61,-67.85
9986.0,0.62,0.85,-1.1,-0.1,-0.93,0.34,0.0,-67.68,-68.05
10051.0,0.41,-0.07,-0.87,-0.11,-0.93,0.35,0.0,-67.71,-68.12
10118.0,0.53,0.2,-1.02,-0.14,-0.93,0.33,0.0,-67.77,-68.26
10185.0,0.6,0.15,-0.99,-0.14,-0.93,0.34,0.0,-67.76,-68.25
10251.0,0.69,0.79,-1.19,-0.13,-0.93,0.35,0.0,-67.76,-68.25
