timestamp millis,Plantar Pressure Voltage
8460.0,"0.28,0.15,0.15,0.02,0.14,0.06,0.18,0.01,0.07,0.07,0.04,0.07,0.01,0.25,0.22,0.18,0.08,0.04,0.37,0.15,0.21,0.16,0.10,0.21,0.10,0.18,0.20,0.16,0.09,0.03,0.06,0.16,0.22,0.03,0.02,0.13,0.23,0.05,0.05,0.15,0.27,0.07,0.12,0.20,0.40,0.18,0.23,0.22,0.23,0.40,0.30,0.26,0.14,0.50,0.38,0.28,0.10,0.48,0.37,0.26,0.13,0.14,0.21,1.47"
8524.0,"0.29,0.15,0.16,0.03,0.15,0.06,0.16,0.02,0.07,0.07,0.02,0.06,0.01,0.26,0.21,0.18,0.11,0.04,0.38,0.15,0.21,0.17,0.10,0.21,0.10,0.18,0.20,0.17,0.09,0.04,0.06,0.16,0.22,0.03,0.03,0.13,0.23,0.05,0.05,0.14,0.28,0.07,0.13,0.20,0.40,0.18,0.23,0.23,0.24,0.41,0.30,0.26,0.15,0.50,0.39,0.29,0.11,0.48,0.37,0.27,0.12,0.16,0.23,1.44"
8592.0,"0.29,0.15,0.16,0.03,0.14,0.05,0.16,0.01,0.06,0.07,0.04,0.07,0.01,0.24,0.21,0.20,0.12,0.03,0.38,0.16,0.22,0.18,0.08,0.20,0.10,0.19,0.21,0.17,0.08,0.02,0.07,0.17,0.22,0.03,0.03,0.13,0.24,0.05,0.02,0.13,0.29,0.08,0.14,0.20,0.41,0.17,0.22,0.23,0.26,0.42,0.31,0.25,0.15,0.50,0.40,0.30,0.11,0.49,0.36,0.30,0.13,0.16,0.22,1.45"
8659.0,"0.30,0.15,0.16,0.02,0.14,0.06,0.15,0.01,0.06,0.07,0.04,0.07,0.01,0.24,0.22,0.18,0.12,0.04,0.36,0.15,0.22,0.17,0.09,0.19,0.10,0.20,0.21,0.18,0.08,0.03,0.07,0.18,0.23,0.02,0.03,0.13,0.27,0.06,0.04,0.14,0.29,0.09,0.14,0.21,0.42,0.18,0.22,0.25,0.27,0.43,0.31,0.25,0.15,0.50,0.40,0.31,0.12,0.49,0.38,0.29,0.14,0.16,0.21,1.47"
8724.0,"0.30,0.15,0.16,0.02,0.14,0.06,0.16,0.01,0.07,0.07,0.05,0.07,0.01,0.25,0.22,0.19,0.12,0.04,0.37,0.16,0.22,0.18,0.11,0.19,0.09,0.19,0.23,0.19,0.08,0.03,0.06,0.15,0.24,0.04,0.03,0.13,0.22,0.06,0.05,0.14,0.30,0.07,0.14,0.20,0.43,0.19,0.26,0.23,0.27,0.43,0.31,0.28,0.16,0.51,0.39,0.30,0.11,0.48,0.38,0.30,0.12,0.16,0.22,1.46"
8792.0,"0.30,0.15,0.17,0.02,0.14,0.06,0.16,0.01,0.07,0.07,0.06,0.06,0.00,0.27,0.22,0.21,0.12,0.04,0.37,0.16,0.23,0.20,0.11,0.19,0.10,0.19,0.21,0.17,0.11,0.02,0.07,0.15,0.23,0.03,0.01,0.10,0.24,0.07,0.06,0.15,0.30,0.07,0.14,0.22,0.43,0.19,0.24,0.23,0.26,0.43,0.33,0.27,0.16,0.52,0.40,0.30,0.12,0.50,0.37,0.27,0.12,0.16,0.24,1.42"
8857.0,"0.30,0.14,0.17,0.02,0.14,0.05,0.16,0.01,0.06,0.08,0.05,0.07,0.01,0.26,0.22,0.22,0.14,0.03,0.37,0.17,0.24,0.19,0.10,0.20,0.09,0.20,0.22,0.19,0.09,0.02,0.05,0.15,0.25,0.03,0.03,0.11,0.24,0.04,0.05,0.14,0.29,0.07,0.15,0.22,0.43,0.19,0.23,0.24,0.27,0.43,0.31,0.27,0.16,0.50,0.41,0.31,0.12,0.50,0.36,0.26,0.13,0.16,0.22,1.40"
8924.0,"0.31,0.14,0.17,0.03,0.14,0.05,0.16,0.01,0.08,0.09,0.06,0.08,0.01,0.26,0.22,0.23,0.12,0.04,0.36,0.17,0.24,0.19,0.12,0.19,0.10,0.20,0.21,0.18,0.08,0.02,0.06,0.15,0.24,0.03,0.03,0.11,0.24,0.05,0.06,0.16,0.30,0.07,0.15,0.22,0.43,0.19,0.25,0.25,0.28,0.42,0.30,0.28,0.16,0.50,0.39,0.30,0.12,0.49,0.38,0.28,0.14,0.17,0.23,1.39"
8991.0,"0.30,0.14,0.16,0.02,0.14,0.06,0.18,0.01,0.08,0.08,0.07,0.09,0.01,0.27,0.23,0.22,0.13,0.05,0.37,0.17,0.25,0.18,0.12,0.18,0.09,0.20,0.24,0.19,0.09,0.04,0.06,0.16,0.24,0.05,0.04,0.11,0.25,0.05,0.06,0.17,0.31,0.07,0.14,0.21,0.44,0.19,0.27,0.25,0.29,0.43,0.31,0.29,0.17,0.51,0.39,0.31,0.11,0.48,0.39,0.30,0.12,0.17,0.22,1.41"
9056.0,"0.30,0.15,0.19,0.02,0.15,0.07,0.17,0.02,0.08,0.08,0.06,0.08,0.00,0.29,0.23,0.23,0.14,0.05,0.37,0.16,0.25,0.22,0.14,0.19,0.11,0.22,0.23,0.20,0.12,0.04,0.06,0.16,0.25,0.04,0.04,0.08,0.25,0.05,0.08,0.16,0.31,0.08,0.15,0.22,0.45,0.20,0.25,0.26,0.27,0.42,0.31,0.30,0.16,0.50,0.39,0.32,0.12,0.50,0.37,0.30,0.12,0.15,0.22,1.43"
9123.0,"0.31,0.15,0.17,0.03,0.15,0.06,0.18,0.00,0.09,0.09,0.06,0.08,0.01,0.28,0.23,0.22,0.14,0.07,0.37,0.16,0.25,0.20,0.15,0.21,0.11,0.21,0.23,0.21,0.10,0.04,0.09,0.17,0.26,0.03,0.04,0.12,0.26,0.05,0.06,0.17,0.31,0.06,0.14,0.25,0.46,0.20,0.25,0.26,0.29,0.43,0.31,0.29,0.17,0.50,0.37,0.32,0.15,0.50,0.36,0.30,0.13,0.17,0.22,1.42"
9189.0,"0.32,0.16,0.18,0.03,0.15,0.07,0.19,0.01,0.08,0.08,0.04,0.08,0.03,0.29,0.24,0.23,0.14,0.05,0.38,0.19,0.27,0.20,0.14,0.20,0.11,0.21,0.22,0.20,0.10,0.04,0.07,0.17,0.26,0.02,0.03,0.15,0.27,0.05,0.05,0.18,0.33,0.08,0.15,0.23,0.45,0.19,0.24,0.26,0.31,0.44,0.29,0.29,0.18,0.51,0.39,0.32,0.12,0.50,0.35,0.28,0.15,0.19,0.23,1.38"
9254.0,"0.32,0.18,0.18,0.05,0.16,0.06,0.19,0.01,0.08,0.09,0.02,0.08,0.03,0.30,0.24,0.23,0.14,0.05,0.38,0.19,0.26,0.19,0.15,0.21,0.11,0.20,0.22,0.21,0.10,0.04,0.07,0.17,0.27,0.02,0.03,0.15,0.27,0.05,0.07,0.18,0.33,0.08,0.15,0.23,0.45,0.20,0.23,0.26,0.30,0.43,0.30,0.28,0.17,0.49,0.38,0.31,0.12,0.49,0.35,0.29,0.14,0.17,0.22,1.40"
