timestamp millis,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,Complementary_Filter_Angle_Calculated,Complementary_Filter_Angle,Kalman_Filter_Angle
29288.0,1.02,-0.07,-1.08,0.01,-0.99,0.06,-0.85,-85.25,-86.24
29353.0,1.11,0.07,-0.88,0.01,-1.0,0.06,-0.86,-85.26,-86.25
29421.0,0.96,-0.27,-0.75,-0.01,-0.99,0.08,-0.82,-85.22,-86.14
29488.0,1.37,-0.11,-1.06,-0.01,-0.99,0.09,-0.71,-85.11,-85.92
29553.0,1.49,-0.66,-0.82,-0.01,-0.99,0.11,-0.53,-84.93,-85.55
29621.0,1.24,-1.29,-0.4,-0.02,-0.98,0.12,-0.31,-84.71,-85.07
29685.0,1.18,-1.33,-0.4,0.05,-0.99,0.15,-0.62,-84.39,-84.4
29753.0,1.29,-3.59,-0.43,-0.02,-1.0,0.19,-0.2,-83.97,-83.53
29819.0,1.05,-0.85,-0.98,-0.07,-0.99,0.13,0.03,-83.74,-83.15
29886.0,0.84,0.69,-0.87,-0.07,-0.98,0.15,0.3,-83.47,-82.66
29954.0,0.7,0.35,-0.75,-0.03,-1.0,0.13,0.43,-83.34,-82.52
30019.0,0.31,-0.27,-0.38,-0.01,-1.0,0.16,0.6,-83.17,-82.23
30086.0,0.04,-0.08,-0.5,-0.02,-0.98,0.15,0.74,-83.03,-82.02
30153.0,0.28,1.28,-1.28,-0.03,-0.98,0.18,1.0,-82.77,-81.55
30220.0,-0.02,1.99,-1.25,-0.04,-0.99,0.14,1.06,-82.71,-81.55
30285.0,0.03,1.95,-1.41,-0.04,-0.98,0.09,0.94,-82.83,-81.96
30353.0,0.08,1.99,-1.47,-0.05,-0.99,0.1,0.89,-82.88,-82.19
30417.0,0.27,2.71,-1.22,0.01,-0.99,0.09,0.76,-83.01,-82.59
30485.0,0.31,0.16,-0.98,-0.05,-0.99,0.1,0.73,-83.04,-82.73
30554.0,0.37,0.84,-0.77,-0.02,-0.99,0.07,0.54,-83.23,-83.24
30618.0,0.35,-0.3,-0.92,-0.04,-0.99,0.09,0.47,-83.3,-83.45
30686.0,0.46,0.11,-1.18,-0.05,-0.99,0.08,0.4,-83.37,-83.61
30751.0,0.47,0.2,-1.21,-0.04,-0.99,0.08,0.33,-83.44,-83.79
30818.0,0.54,0.48,-1.17,-0.03,-0.99,0.08,0.25,-83.52,-83.99
30885.0,0.47,0.64,-1.24,-0.04,-0.99,0.08,0.18,-83.59,-84.14
30952.0,0.44,0.53,-1.31,-0.03,-0.99,0.08,0.11,-83.66,-84.29
31017.0,0.56,0.6,-1.32,-0.03,-0.99,0.08,0.05,-83.72,-84.4
31085.0,0.62,0.71,-1.34,-0.05,-0.99,0.08,0.01,-83.76,-84.48
31150.0,0.6,0.8,-1.19,-0.02,-0.99,0.07,-0.08,-83.85,-84.66
31217.0,0.6,0.57,-1.25,-0.03,-0.99,0.07,-0.16,-83.93,-84.82
31284.0,0.68,0.63,-1.3,-0.0,-0.99,0.07,-0.24,-84.01,-84.97
31349.0,0.76,0.47,-1.37,-0.02,-0.99,0.09,-0.24,-84.01,-84.94
31417.0,0.73,0.46,-1.27,-0.02,-0.99,0.08,-0.28,-84.05,-84.98
31483.0,0.66,0.38,-1.15,-0.02,-0.99,0.08,-0.33,-84.1,-85.08
31549.0,0.64,0.36,-1.11,-0.01,-0.99,0.08,-0.36,-84.13,-85.1
31618.0,0.66,0.18,-1.08,-0.01,-1.0,0.08,-0.4,-84.17,-85.13
31683.0,0.69,0.11,-1.11,-0.03,-0.99,0.09,-0.4,-84.17,-85.09
31750.0,0.66,0.3,-1.18,-0.03,-0.99,0.09,-0.4,-84.17,-85.05
