timestamp millis,M01,M02,M03,M04,M05,M06,M07,M08
26110,0.051999997,0.030909093,0.053000003,0.08833334,0.043333333,0.030000001,0.022,0.0112499995
26178,0.24,0.034545455,0.081999995,0.09833332,0.06666666,0.058333334,0.051999997,0.0175
26244,0.406,0.047272727,0.086,0.061666664,0.026666665,0.026666665,0.018000001,0.014999999
26310,0.438,0.07727273,0.177,0.06,0.036666665,0.05666666,0.02,0.01
26378,0.4546667,0.10272729,0.228,0.05,0.096666664,0.13000001,0.04,0.02
26444,0.34133336,0.095454544,0.28299996,0.13,0.23,0.18166667,0.063999996,0.0475
26510,0.29866663,0.10090909,0.313,0.20333332,0.3033333,0.205,0.102,0.0925
26577,0.276,0.096363634,0.339,0.23166667,0.33666667,0.21499999,0.128,0.11125
26642,0.212,0.10454545,0.33499998,0.24500002,0.3466667,0.23166667,0.138,0.12875
26710,0.13133332,0.09,0.30900002,0.29666665,0.37333333,0.22333331,0.20199999,0.13999999
26778,0.07733332,0.06818182,0.23700002,0.3516667,0.38666666,0.20833333,0.268,0.1525
26842,0.07066667,0.05,0.139,0.37166667,0.37,0.18833333,0.32399997,0.1575
26909,0.038666666,0.03272727,0.091000006,0.39166665,0.33,0.135,0.34,0.15374999
26976,0.027333332,0.023636365,0.043,0.36833334,0.22666667,0.08833333,0.342,0.098749995
27041,0.066666655,0.023636365,0.043,0.12166666,0.07666667,0.043333333,0.049999997,0.021249998
27109,0.07066666,0.02818182,0.041,0.14666666,0.06666667,0.03333333,0.031999998,0.0112499995
27173,0.08066666,0.03,0.038999997,0.14666668,0.080000006,0.028333334,0.038,0.011249999
27241,0.083333336,0.03090909,0.044999998,0.14333333,0.083333336,0.033333335,0.029999997,0.009999999
27308,0.06866666,0.02909091,0.05,0.11666667,0.06333333,0.039999995,0.04,0.0125
27373,0.06933334,0.034545455,0.044999998,0.11999998,0.07,0.035,0.027999997,0.01625
27441,0.051333327,0.02909091,0.054,0.10833334,0.07,0.044999998,0.04,0.0112499995
27507,0.23733333,0.028181821,0.08,0.099999994,0.07,0.05333333,0.038,0.012499999
27573,0.41466668,0.05090909,0.100999996,0.07,0.030000001,0.040000003,0.024,0.005
27640,0.426,0.09818182,0.19199999,0.038333334,0.06666667,0.071666665,0.042000003,0.012499999
27705,0.37533334,0.10909092,0.223,0.17000002,0.17,0.135,0.08799999,0.040000003
27773,0.33666664,0.11909091,0.221,0.255,0.24000001,0.135,0.126,0.0625
27841,0.29066667,0.120909095,0.24200001,0.31,0.29,0.15333334,0.176,0.09625
27906,0.22266667,0.12727273,0.23200002,0.37,0.31333333,0.15666668,0.22,0.122499995
27973,0.14133333,0.117272735,0.197,0.40833333,0.33,0.16000001,0.28000003,0.13125
28039,0.09066666,0.09090909,0.14600001,0.42666665,0.36,0.14666666,0.31399998,0.13874999
28105,0.085333325,0.06818182,0.10899999,0.42833337,0.35,0.14166667,0.33600003,0.14625
28173,0.062,0.04272727,0.089,0.4333333,0.31000003,0.120000005,0.36200002,0.14625
28238,0.09133334,0.024545455,0.070999995,0.41833338,0.28,0.10666666,0.33200002,0.165
28305,0.026666667,0.024545455,0.026999999,0.35999998,0.19333334,0.060000002,0.326,0.067499995
28372,0.061333332,0.032727275,0.04,0.10833333,0.06333333,0.025,0.029999997,0.013749999
28437,0.07466666,0.02454546,0.047,0.16166668,0.06666667,0.026666665,0.02,0.0074999994
28505,0.07866667,0.02909091,0.044999998,0.17666666,0.060000002,0.035,0.025999999,0.015
28572,0.076000005,0.038181815,0.046,0.15666667,0.07,0.044999998,0.029999997,0.011249999
