timestamp millis,Plantar Pressure Voltage
26110,"0.03,0.00,0.03,0.00,0.01,0.01,0.02,0.00,0.03,0.04,0.02,0.01,0.00,0.10,0.05,0.04,0.00,0.00,0.16,0.05,0.04,0.05,0.01,0.13,0.04,0.05,0.09,0.03,0.06,0.02,0.02,0.06,0.06,0.05,0.03,0.02,0.06,0.05,0.01,0.02,0.07,0.04,0.02,0.02,0.13,0.02,0.02,0.02,0.07,0.06,0.07,0.00,0.03,0.12,0.08,0.00,0.03,0.10,0.02,0.00,0.09,0.15,0.02,0.01"
26178,"0.11,0.04,0.06,0.01,0.07,0.01,0.02,0.00,0.04,0.03,0.01,0.00,0.00,0.12,0.08,0.05,0.03,0.01,0.20,0.04,0.08,0.11,0.02,0.12,0.03,0.07,0.12,0.06,0.07,0.01,0.03,0.08,0.09,0.02,0.01,0.02,0.08,0.03,0.03,0.03,0.09,0.04,0.03,0.07,0.20,0.05,0.06,0.07,0.09,0.15,0.15,0.10,0.05,0.31,0.24,0.11,0.03,0.29,0.22,0.12,0.11,0.04,0.08,1.60"
26244,"0.02,0.02,0.01,0.00,0.01,0.01,0.01,0.00,0.04,0.02,0.05,0.02,0.00,0.08,0.02,0.02,0.02,0.01,0.10,0.03,0.03,0.03,0.03,0.11,0.03,0.03,0.04,0.03,0.07,0.03,0.02,0.03,0.06,0.04,0.01,0.02,0.08,0.03,0.02,0.03,0.11,0.06,0.03,0.06,0.23,0.10,0.11,0.10,0.14,0.29,0.26,0.29,0.11,0.40,0.37,0.38,0.13,0.19,0.18,0.18,1.27,0.95,0.20,0.89"
26310,"0.01,0.01,0.02,0.00,0.01,0.01,0.01,0.00,0.05,0.03,0.01,0.02,0.00,0.08,0.03,0.00,0.02,0.03,0.11,0.03,0.04,0.05,0.05,0.08,0.03,0.07,0.08,0.11,0.05,0.02,0.05,0.05,0.11,0.02,0.03,0.05,0.13,0.04,0.07,0.08,0.22,0.07,0.13,0.16,0.42,0.14,0.23,0.24,0.31,0.35,0.32,0.30,0.27,0.46,0.38,0.32,0.29,0.21,0.19,0.17,1.42,0.10,0.78,1.01"
26378,"0.11,0.05,0.04,0.01,0.04,0.01,0.00,0.00,0.01,0.03,0.03,0.03,0.00,0.07,0.05,0.06,0.06,0.03,0.06,0.03,0.10,0.15,0.13,0.05,0.04,0.13,0.22,0.19,0.03,0.03,0.11,0.13,0.22,0.04,0.06,0.08,0.20,0.05,0.10,0.13,0.26,0.10,0.15,0.24,0.44,0.17,0.29,0.28,0.30,0.43,0.35,0.34,0.25,0.49,0.37,0.38,0.27,0.24,0.20,0.21,1.28,0.13,0.92,0.96"
26444,"0.16,0.11,0.09,0.01,0.08,0.04,0.05,0.01,0.03,0.04,0.03,0.04,0.01,0.14,0.13,0.21,0.15,0.04,0.22,0.11,0.25,0.23,0.16,0.13,0.05,0.23,0.28,0.23,0.05,0.01,0.06,0.22,0.31,0.03,0.04,0.16,0.28,0.04,0.06,0.19,0.33,0.06,0.19,0.28,0.46,0.19,0.32,0.30,0.30,0.42,0.35,0.31,0.18,0.50,0.40,0.32,0.16,0.53,0.41,0.27,0.14,0.34,0.55,0.24"
26510,"0.20,0.16,0.13,0.02,0.13,0.07,0.17,0.02,0.08,0.08,0.09,0.09,0.01,0.23,0.23,0.32,0.19,0.06,0.32,0.15,0.31,0.27,0.18,0.19,0.10,0.28,0.30,0.23,0.07,0.02,0.10,0.27,0.36,0.03,0.02,0.20,0.35,0.05,0.08,0.23,0.39,0.06,0.19,0.29,0.47,0.18,0.31,0.28,0.29,0.39,0.33,0.29,0.20,0.48,0.37,0.26,0.12,0.47,0.39,0.22,0.10,0.25,0.44,0.17"
26577,"0.25,0.20,0.12,0.05,0.14,0.08,0.22,0.01,0.10,0.10,0.10,0.13,0.03,0.28,0.25,0.35,0.21,0.06,0.36,0.19,0.35,0.25,0.21,0.20,0.11,0.31,0.31,0.25,0.05,0.04,0.10,0.30,0.40,0.00,0.04,0.26,0.39,0.03,0.07,0.27,0.40,0.06,0.20,0.29,0.48,0.18,0.29,0.29,0.31,0.41,0.31,0.29,0.17,0.47,0.38,0.27,0.09,0.45,0.34,0.16,0.09,0.23,0.36,0.12"
26642,"0.29,0.21,0.09,0.03,0.13,0.10,0.25,0.02,0.13,0.11,0.17,0.17,0.02,0.31,0.27,0.37,0.23,0.06,0.38,0.18,0.33,0.27,0.23,0.20,0.13,0.34,0.33,0.27,0.07,0.05,0.11,0.34,0.42,0.02,0.05,0.26,0.39,0.02,0.10,0.29,0.39,0.06,0.20,0.28,0.47,0.18,0.29,0.27,0.24,0.35,0.28,0.27,0.11,0.44,0.35,0.18,0.04,0.36,0.24,0.09,0.06,0.16,0.16,0.09"
26710,"0.34,0.24,0.12,0.06,0.21,0.11,0.20,0.00,0.23,0.17,0.25,0.18,0.02,0.37,0.30,0.39,0.24,0.06,0.47,0.22,0.36,0.26,0.19,0.26,0.16,0.37,0.33,0.26,0.07,0.02,0.12,0.35,0.42,0.03,0.05,0.28,0.37,0.03,0.07,0.23,0.34,0.05,0.18,0.24,0.43,0.15,0.22,0.24,0.19,0.32,0.22,0.14,0.04,0.34,0.24,0.07,0.03,0.18,0.11,0.03,0.06,0.12,0.04,0.03"
